,id_EUMETSAT,url_tar
61,nimbus_6_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_nimbus_6_hirs_srf/rtcoef_nimbus_6_hirs_srf.tar.gz
62,metop_1_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_metop_1_hirs_srf/rtcoef_metop_1_hirs_srf.tar.gz
63,metop_2_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_metop_2_hirs_srf/rtcoef_metop_2_hirs_srf.tar.gz
64,noaa_5_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_5_hirs_srf/rtcoef_noaa_5_hirs_srf.tar.gz
65,noaa_6_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_6_hirs_srf/rtcoef_noaa_6_hirs_srf.tar.gz
66,noaa_7_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_7_hirs_srf/rtcoef_noaa_7_hirs_srf.tar.gz
67,noaa_8_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_8_hirs_srf/rtcoef_noaa_8_hirs_srf.tar.gz
68,noaa_9_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_9_hirs_srf/rtcoef_noaa_9_hirs_srf.tar.gz
69,noaa_10_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_10_hirs_srf/rtcoef_noaa_10_hirs_srf.tar.gz
70,noaa_11_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_11_hirs_srf/rtcoef_noaa_11_hirs_srf.tar.gz
71,noaa_12_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_12_hirs_srf/rtcoef_noaa_12_hirs_srf.tar.gz
73,noaa_14_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_14_hirs_srf/rtcoef_noaa_14_hirs_srf.tar.gz
74,noaa_15_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_15_hirs_srf/rtcoef_noaa_15_hirs_srf.tar.gz
75,noaa_16_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_16_hirs_srf/rtcoef_noaa_16_hirs_srf.tar.gz
76,noaa_17_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_17_hirs_srf/rtcoef_noaa_17_hirs_srf.tar.gz
77,noaa_18_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_18_hirs_srf/rtcoef_noaa_18_hirs_srf.tar.gz
78,noaa_19_hirs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_19_hirs_srf/rtcoef_noaa_19_hirs_srf.tar.gz
79,metop_1_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_metop_1_hirs-shifted_srf/rtcoef_metop_1_hirs-shifted_srf.tar.gz
80,metop_2_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_metop_2_hirs-shifted_srf/rtcoef_metop_2_hirs-shifted_srf.tar.gz
81,noaa_6_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_6_hirs-shifted_srf/rtcoef_noaa_6_hirs-shifted_srf.tar.gz
82,noaa_7_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_7_hirs-shifted_srf/rtcoef_noaa_7_hirs-shifted_srf.tar.gz
